Preprocessing,Depth,n_components,Train Accuracy,Test Accuracy
clean_df_iqr - entropy - 2 pca:2 -> Train: 77.8705636743215 - Test: 76.25,2,2,77.8705636743215,76.25
clean_df_iqr - entropy - 3 pca:4 -> Train: 78.49686847599166 - Test: 76.25,3,4,78.49686847599166,76.25
clean_df_iqr - entropy - 1 pca:3 -> Train: 77.8705636743215 - Test: 76.25,1,3,77.8705636743215,76.25
clean_df_iqr - entropy - 2 pca:3 -> Train: 77.8705636743215 - Test: 76.25,2,3,77.8705636743215,76.25
clean_df_iqr - entropy - 3 pca:3 -> Train: 78.49686847599166 - Test: 76.25,3,3,78.49686847599166,76.25
clean_df_iqr - gini - 1 pca:4 -> Train: 77.8705636743215 - Test: 76.25,1,4,77.8705636743215,76.25
clean_df_iqr - gini - 2 pca:4 -> Train: 78.49686847599166 - Test: 76.25,2,4,78.49686847599166,76.25
clean_df_iqr - gini - 2 pca:2 -> Train: 77.8705636743215 - Test: 76.25,2,2,77.8705636743215,76.25
clean_df_iqr - gini - 3 pca:4 -> Train: 78.49686847599166 - Test: 76.25,3,4,78.49686847599166,76.25
clean_df_iqr - gini - 1 pca:2 -> Train: 77.8705636743215 - Test: 76.25,1,2,77.8705636743215,76.25
clean_df_iqr - entropy - 1 pca:5 -> Train: 77.8705636743215 - Test: 76.25,1,5,77.8705636743215,76.25
clean_df_iqr - gini - 1 pca:6 -> Train: 77.8705636743215 - Test: 76.25,1,6,77.8705636743215,76.25
clean_df_iqr - entropy - 1 pca:8 -> Train: 77.8705636743215 - Test: 76.25,1,8,77.8705636743215,76.25
clean_df_iqr - gini - 1 pca:8 -> Train: 77.8705636743215 - Test: 76.25,1,8,77.8705636743215,76.25
clean_df_iqr - entropy - 1 pca:2 -> Train: 77.8705636743215 - Test: 76.25,1,2,77.8705636743215,76.25
clean_df_iqr - gini - 1 pca:7 -> Train: 77.8705636743215 - Test: 76.25,1,7,77.8705636743215,76.25
clean_df_iqr - entropy - 1 pca:7 -> Train: 77.8705636743215 - Test: 76.25,1,7,77.8705636743215,76.25
df_iqr_scaled - gini - 8 pca:6 -> Train: 96.65970772442589 - Test: 76.25,8,6,96.65970772442589,76.25
clean_df_iqr - entropy - 1 pca:4 -> Train: 77.8705636743215 - Test: 76.25,1,4,77.8705636743215,76.25
clean_df_iqr - gini - 2 pca:3 -> Train: 78.49686847599166 - Test: 76.25,2,3,78.49686847599166,76.25
clean_df_iqr - gini - 1 pca:3 -> Train: 77.8705636743215 - Test: 76.25,1,3,77.8705636743215,76.25
clean_df_iqr - gini - 3 pca:3 -> Train: 78.49686847599166 - Test: 76.25,3,3,78.49686847599166,76.25
clean_df_iqr - entropy - 1 pca:6 -> Train: 77.8705636743215 - Test: 76.25,1,6,77.8705636743215,76.25
clean_df_iqr - gini - 1 pca:5 -> Train: 77.8705636743215 - Test: 76.25,1,5,77.8705636743215,76.25
clean_df_iqr - entropy - 2 pca:4 -> Train: 77.8705636743215 - Test: 76.25,2,4,77.8705636743215,76.25
clean_df_iqr - entropy - 6 pca:6 -> Train: 88.10020876826722 - Test: 75.625,6,6,88.10020876826722,75.625
clean_df_iqr - entropy - 6 pca:8 -> Train: 89.14405010438414 - Test: 75.625,6,8,89.14405010438414,75.625
clean_df_iqr - entropy - 6 pca:7 -> Train: 88.51774530271399 - Test: 75.625,6,7,88.51774530271399,75.625
df_iqr_scaled - entropy - 7 pca:6 -> Train: 88.93528183716074 - Test: 75.625,7,6,88.93528183716074,75.625
df_iqr_scaled - gini - 11 pca:6 -> Train: 99.79123173277662 - Test: 75.625,11,6,99.79123173277662,75.625
df_iqr_scaled - entropy - 7 pca:3 -> Train: 82.4634655532359 - Test: 75.625,7,3,82.4634655532359,75.625
clean_df_zscore - gini - 1 pca:8 -> Train: 71.12403100775194 - Test: 75.0,1,8,71.12403100775194,75.0
clean_df_zscore - entropy - 1 pca:3 -> Train: 71.12403100775194 - Test: 75.0,1,3,71.12403100775194,75.0
clean_df_zscore - gini - 1 pca:5 -> Train: 71.12403100775194 - Test: 75.0,1,5,71.12403100775194,75.0
clean_df_iqr - entropy - 5 pca:6 -> Train: 84.96868475991648 - Test: 75.0,5,6,84.96868475991648,75.0
clean_df_zscore - entropy - 1 pca:8 -> Train: 71.12403100775194 - Test: 75.0,1,8,71.12403100775194,75.0
clean_df_iqr - entropy - 2 pca:6 -> Train: 78.70563674321504 - Test: 75.0,2,6,78.70563674321504,75.0
clean_df_iqr - gini - 2 pca:7 -> Train: 78.70563674321504 - Test: 75.0,2,7,78.70563674321504,75.0
clean_df_iqr - gini - 2 pca:6 -> Train: 78.70563674321504 - Test: 75.0,2,6,78.70563674321504,75.0
clean_df_zscore - gini - 1 pca:4 -> Train: 71.12403100775194 - Test: 75.0,1,4,71.12403100775194,75.0
clean_df_iqr - entropy - 2 pca:8 -> Train: 78.70563674321504 - Test: 75.0,2,8,78.70563674321504,75.0
clean_df_zscore - entropy - 1 pca:7 -> Train: 71.12403100775194 - Test: 75.0,1,7,71.12403100775194,75.0
clean_df_iqr - entropy - 7 pca:6 -> Train: 91.44050104384134 - Test: 75.0,7,6,91.44050104384134,75.0
clean_df_iqr - entropy - 5 pca:8 -> Train: 85.38622129436325 - Test: 75.0,5,8,85.38622129436325,75.0
clean_df_zscore - entropy - 1 pca:5 -> Train: 71.12403100775194 - Test: 75.0,1,5,71.12403100775194,75.0
clean_df_iqr - gini - 2 pca:8 -> Train: 78.70563674321504 - Test: 75.0,2,8,78.70563674321504,75.0
clean_df_zscore - gini - 1 pca:3 -> Train: 71.12403100775194 - Test: 75.0,1,3,71.12403100775194,75.0
clean_df_zscore - gini - 1 pca:7 -> Train: 71.12403100775194 - Test: 75.0,1,7,71.12403100775194,75.0
clean_df_iqr - entropy - 7 pca:3 -> Train: 84.96868475991648 - Test: 75.0,7,3,84.96868475991648,75.0
clean_df_zscore - gini - 1 pca:2 -> Train: 71.12403100775194 - Test: 75.0,1,2,71.12403100775194,75.0
clean_df_iqr - entropy - 2 pca:7 -> Train: 78.70563674321504 - Test: 75.0,2,7,78.70563674321504,75.0
clean_df_zscore - gini - 1 pca:6 -> Train: 71.12403100775194 - Test: 75.0,1,6,71.12403100775194,75.0
clean_df_iqr - entropy - 2 pca:5 -> Train: 78.70563674321504 - Test: 75.0,2,5,78.70563674321504,75.0
clean_df_zscore - entropy - 1 pca:6 -> Train: 71.12403100775194 - Test: 75.0,1,6,71.12403100775194,75.0
clean_df_zscore - entropy - 1 pca:4 -> Train: 71.12403100775194 - Test: 75.0,1,4,71.12403100775194,75.0
clean_df_iqr - gini - 2 pca:5 -> Train: 78.70563674321504 - Test: 75.0,2,5,78.70563674321504,75.0
clean_df_zscore - entropy - 1 pca:2 -> Train: 71.12403100775194 - Test: 75.0,1,2,71.12403100775194,75.0
df_scaled - entropy - 10 pca:8 -> Train: 96.18055555555556 - Test: 74.47916666666666,10,8,96.18055555555556,74.47916666666666
df_iqr_scaled - gini - 10 pca:7 -> Train: 99.16492693110646 - Test: 74.375,10,7,99.16492693110646,74.375
clean_df_iqr - entropy - 5 pca:7 -> Train: 85.17745302713988 - Test: 74.375,5,7,85.17745302713988,74.375
clean_df_iqr - entropy - 8 pca:3 -> Train: 86.63883089770354 - Test: 74.375,8,3,86.63883089770354,74.375
df_iqr_scaled - gini - 6 pca:3 -> Train: 84.96868475991648 - Test: 74.375,6,3,84.96868475991648,74.375
df_iqr_scaled - gini - 8 pca:7 -> Train: 95.61586638830897 - Test: 74.375,8,7,95.61586638830897,74.375
df_iqr_scaled - gini - 12 pca:6 -> Train: 100.0 - Test: 74.375,12,6,100.0,74.375
df_iqr_scaled - gini - 9 pca:6 -> Train: 98.12108559498957 - Test: 74.375,9,6,98.12108559498957,74.375
clean_df_iqr - gini - 5 pca:3 -> Train: 82.25469728601253 - Test: 74.375,5,3,82.25469728601253,74.375
clean_df_iqr - gini - 6 pca:7 -> Train: 88.93528183716074 - Test: 74.375,6,7,88.93528183716074,74.375
clean_df_iqr - entropy - 6 pca:3 -> Train: 83.29853862212944 - Test: 74.375,6,3,83.29853862212944,74.375
clean_df_iqr - gini - 3 pca:2 -> Train: 78.28810020876827 - Test: 74.375,3,2,78.28810020876827,74.375
clean_df_iqr - entropy - 5 pca:4 -> Train: 81.83716075156576 - Test: 74.375,5,4,81.83716075156576,74.375
clean_df_iqr - gini - 6 pca:2 -> Train: 83.92484342379957 - Test: 74.375,6,2,83.92484342379957,74.375
df_iqr_scaled - entropy - 6 pca:3 -> Train: 80.79331941544885 - Test: 74.375,6,3,80.79331941544885,74.375
clean_df_iqr - entropy - 3 pca:2 -> Train: 78.28810020876827 - Test: 74.375,3,2,78.28810020876827,74.375
df_scaled - entropy - 14 pca:8 -> Train: 99.30555555555556 - Test: 73.95833333333334,14,8,99.30555555555556,73.95833333333334
df_scaled - entropy - 7 pca:6 -> Train: 89.75694444444444 - Test: 73.95833333333334,7,6,89.75694444444444,73.95833333333334
df - gini - 4 pca:7 -> Train: 83.15972222222221 - Test: 73.95833333333334,4,7,83.15972222222221,73.95833333333334
clean_df_zscore - entropy - 2 pca:6 -> Train: 76.16279069767442 - Test: 73.83720930232558,2,6,76.16279069767442,73.83720930232558
clean_df_zscore - entropy - 2 pca:3 -> Train: 76.16279069767442 - Test: 73.83720930232558,2,3,76.16279069767442,73.83720930232558
